record_type,slug_or_gap_id,display_name_ru,muscle_group,movement_pattern,equipment,equipment_variant,execution_variant,metric_type,priority,batch,status,evidence_note
current,bench-press,Жим лежа,chest,chest_press,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,incline-bench-press,Жим штанги на наклонной скамье,chest,chest_press,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,decline-bench-press,Жим штанги вниз головой,chest,chest_press,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,close-grip-bench-press,Жим лежа узким хватом,triceps,chest_press,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,dumbbell-bench-press,Жим гантелей лежа,chest,chest_press,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,incline-dumbbell-press,Жим гантелей на наклонной скамье,chest,chest_press,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,decline-dumbbell-press,Жим гантелей вниз головой,chest,chest_press,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,dumbbell-fly,Разведение гантелей лежа,chest,chest_fly,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,incline-dumbbell-fly,Разведение гантелей на наклонной скамье,chest,chest_fly,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,cable-fly,Сведение рук в кроссовере,chest,chest_fly,cable,cable,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,low-to-high-cable-fly,Сведение снизу вверх в кроссовере,chest,chest_fly,cable,cable,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,pec-deck,Сведение рук в тренажере,chest,chest_fly,machine,unspecified_machine,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,machine-chest-press,Жим от груди в тренажере,chest,chest_press,machine,unspecified_machine,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,smith-bench-press,Жим лежа в Смите,chest,chest_press,machine,smith,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,push-up,Отжимания,chest,pushup_dip,bodyweight,bodyweight,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,weighted-dip,Отжимания на брусьях с весом,chest,pushup_dip,bodyweight,external_load,bilateral,strength,covered,current,covered_120D,unique reviewed YFC split-position media shows belt and plate
current,chest-dip,Отжимания на брусьях с наклоном,chest,pushup_dip,bodyweight,bodyweight,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,dumbbell-pullover,Пуловер с гантелью,chest,pullover,dumbbell,dumbbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,deadlift,Становая тяга,back,hinge,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
current,rack-pull,Тяга с плинтов,back,hinge,barbell,barbell,bilateral_or_unspecified,strength,covered,current,present,audit-derived pattern/variant; current DB does not store both axes
